School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
New Norfolk Primary School,TAS,Government,Primary,Inner Regional,-42.77900115,147.0636691
Molesworth Primary School,TAS,Government,Primary,Inner Regional,-42.80404026,147.1567787
Westerway Primary School,TAS,Government,Primary,Outer Regional,-42.67762923,146.7873511
Strahan Primary School,TAS,Government,Primary,Remote,-42.15342033,145.320347
Zeehan Primary School,TAS,Government,Primary,Remote,-41.88801157,145.3395928
Tarremah Steiner School,TAS,Independent,Combined,Inner Regional,-42.997854,147.289813
Australian Christian College - Burnie,TAS,Independent,Combined,Outer Regional,-41.0444,145.81
MacKillop Catholic College,TAS,Catholic,Secondary,Inner Regional,-42.857456,147.400625
Devonport Christian School,TAS,Independent,Primary,Outer Regional,-41.18196,146.3234
St Finn Barr's Catholic Primary School,TAS,Catholic,Primary,Inner Regional,-41.415572,147.132923
Giant Steps Tasmania,TAS,Independent,Combined,Outer Regional,-41.5225,146.652
Dominic College,TAS,Catholic,Combined,Inner Regional,-42.848604,147.257738
Mount Carmel College,TAS,Catholic,Combined,Inner Regional,-42.901946,147.33217
Sacred Heart College,TAS,Catholic,Combined,Inner Regional,-42.86218,147.304645
Dodges Ferry Primary School,TAS,Government,Primary,Inner Regional,-42.84870944,147.6247467
Exeter Primary School,TAS,Government,Primary,Outer Regional,-41.29885674,146.956374
Illawarra Primary School,TAS,Government,Primary,Inner Regional,-43.0086344,147.3193779
OneSchool Global - Hobart Campus,TAS,Independent,Combined,Inner Regional,-42.797041,147.262784
Beaconsfield Primary School,TAS,Government,Primary,Outer Regional,-41.20319085,146.8219466
Newstead Christian School,TAS,Independent,Combined,Inner Regional,-41.438287,147.165078
St Virgil's College,TAS,Catholic,Combined,Inner Regional,-42.774178,147.251698
Peregrine,TAS,Independent,Primary,Outer Regional,-43.141636,147.152841
Mountain Heights School,TAS,Government,Combined,Remote,-42.09410938,145.549574
St Brendan-Shaw College,TAS,Catholic,Secondary,Outer Regional,-41.167167,146.342373
St Patrick's College,TAS,Catholic,Secondary,Inner Regional,-41.473557,147.127444
Marist Regional College,TAS,Catholic,Secondary,Outer Regional,-41.04803,145.886284
Ashley School,TAS,Government,Secondary,Outer Regional,-41.52487563,146.7043178
Cape Barren Island School,TAS,Government,Combined,Very Remote,-40.369305,148.024571
Southern Support School,TAS,Government,Combined,Inner Regional,-42.880164,147.401683
Calvin Christian School,TAS,Independent,Primary,Inner Regional,-42.97993089,147.3050204
Sunrise Christian School Fullarton,SA,Independent,Primary,Major Cities,-34.954499,138.621828
Northern Support School,TAS,Government,Combined,Inner Regional,-41.423615,147.172268
Ngaanyatjarra Lands School,WA,Government,Combined,Very Remote,-25.28353,127.54272
Launceston Church Grammar School - Junior Campus,TAS,Independent,Primary,Inner Regional,-41.433996,147.149315
Scotch Oakburn College - Elphin Campus,TAS,Independent,Primary,Inner Regional,-41.434589,147.152685
Leighland Christian School - Burnie Campus,TAS,Independent,Primary,Outer Regional,-41.069016,145.935864
St Virgil's College - St Virgil's Junior School,TAS,Catholic,Primary,Inner Regional,-42.882906,147.317603
OneSchool Global - Launceston Campus,TAS,Independent,Combined,Inner Regional,-41.451375,147.160437
Australian Christian College - Launceston,TAS,Independent,Combined,Inner Regional,-41.3858,147.127401
Emmanuel Christian School,TAS,Independent,Combined,Inner Regional,-42.90075556,147.4385796
Northern Christian School,TAS,Independent,Primary,Inner Regional,-42.730637,147.223489
Channel Christian School,TAS,Independent,Primary,Inner Regional,-43.027034,147.271393
Australian Christian College - Hobart,TAS,Independent,Combined,Inner Regional,-42.839719,147.352713
Saint Mary MacKillop College Albury,NSW,Independent,Combined,Inner Regional,-35.902879,146.826712
St Dominic Savio School,NSW,Independent,Primary,Major Cities,-33.950985,151.149577
Saint Mary MacKillop Colleges Limited,NSW,Independent,Combined,Inner Regional,-35.12896698,147.3479814
Kurnai College - University Campus,VIC,Government,Secondary,Inner Regional,-38.30939,146.424883
St Philomena School,QLD,Independent,Combined,Major Cities,-27.718998,153.08414
Darkan Primary School,WA,Government,Primary,Outer Regional,-33.33590866,116.7331568
School Of Special Educational Needs: Medical And Mental Health,WA,Government,Combined,Major Cities,-31.969335,115.817205
Sir David Brand School,WA,Government,Combined,Major Cities,-31.9123745,115.8596954
Divine Mercy College,WA,Independent,Combined,Major Cities,-32.123981,115.82463
Rehoboth Christian College - Wilson Campus,WA,Independent,Primary,Major Cities,-32.01355,115.9141
Swan Christian College - Junior School Campus,WA,Independent,Primary,Major Cities,-31.858097,116.012437
Port Neill Primary School,SA,Government,Primary,Remote,-34.11700739,136.3427703
Thebarton Senior College,SA,Government,Secondary,Major Cities,-34.917275,138.562772
Kangaroo Island Community Education - Penneshaw Campus,SA,Government,Combined,Remote,-35.720872,137.931836
OneSchool Global SA - Mount Gambier Campus,SA,Independent,Combined,Outer Regional,-37.816856,140.796901
Sunrise Christian School Marion,SA,Independent,Combined,Major Cities,-35.016798,138.557341
O'Connor Cooperative School,ACT,Government,Primary,Major Cities,-35.261153,149.120241
Erindale College,ACT,Government,Secondary,Major Cities,-35.403049,149.096551
Hawker College,ACT,Government,Secondary,Major Cities,-35.245578,149.032519
Narrabundah College,ACT,Government,Secondary,Major Cities,-35.335969,149.147097
Southern Cross Early Childhood School,ACT,Government,Primary,Major Cities,-35.2328,149.0384
Lyons Early Childhood School,ACT,Government,Primary,Major Cities,-35.341633,149.076243
Narrabundah Early Childhood School,ACT,Government,Primary,Major Cities,-35.329016,149.150698
Caroline Chisholm School,ACT,Government,Secondary,Major Cities,-35.4182,149.122
Isabella Plains Early Childhood School,ACT,Government,Primary,Major Cities,-35.428716,149.089497
The Canberra College,ACT,Government,Secondary,Major Cities,-35.3404,149.0883
St Mary MacKillop College - Wanniassa Campus,ACT,Catholic,Secondary,Major Cities,-35.4053,149.091
Daramalan College,ACT,Independent,Secondary,Major Cities,-35.2535,149.1387
Marist College Canberra,ACT,Independent,Combined,Major Cities,-35.3603,149.088
St Edmund's College Canberra,ACT,Independent,Combined,Major Cities,-35.323315,149.144412
Darwin High School,NT,Government,Secondary,Outer Regional,-12.43893,130.83398
Northern Territory School of Distance Education,NT,Government,Secondary,Outer Regional,-12.43964837,130.8339947
Centralian Senior College,NT,Government,Secondary,Remote,-23.6979,133.8953
Kiana School,NT,Government,Combined,Very Remote,-17.24244,136.18325
Woolaning School,NT,Government,Combined,Remote,-13.098819,130.654431
Araluen Christian College,NT,Independent,Combined,Remote,-23.70771,133.85232
Holy Family Catholic Primary School,NT,Catholic,Primary,Outer Regional,-12.39367,130.91166
Holy Spirit Catholic Primary School,NT,Catholic,Primary,Outer Regional,-12.373488,130.88543
O'Loughlin Catholic College,NT,Catholic,Secondary,Outer Regional,-12.39337,130.91045
Our Lady of the Sacred Heart Catholic College,NT,Catholic,Combined,Remote,-23.707543,133.876955
Sacred Heart Catholic Primary School,NT,Catholic,Primary,Outer Regional,-12.49588,130.97937
St Francis of Assisi Catholic Primary School,NT,Catholic,Primary,Outer Regional,-12.581199,131.099073
St John's Catholic College,NT,Catholic,Secondary,Outer Regional,-12.440794,130.837954
St Joseph's Catholic College,NT,Catholic,Combined,Remote,-14.46194,132.27593
St Mary's Catholic Primary School,NT,Catholic,Primary,Outer Regional,-12.45935,130.83883
St Paul's Catholic Primary School,NT,Catholic,Primary,Outer Regional,-12.38695,130.85821
Canberra Grammar School - Northside Infants Campus,ACT,Independent,Primary,Major Cities,-35.2853,149.1471
Muirden Senior College,SA,Independent,Secondary,Major Cities,-34.933349,138.600554
