OBJECT ID,STATE POLYGON (PID),STATE (PID),STATE NAME,STATE ABBREVIATION,DATE CREATED,DATE RETIRED,GLOBAL ID,Shape__Area,Shape__Length
17678,6710,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,51fa9afb-4808-4a61-ab79-b7f6d0e134e3,3.13435975840548E-07,0.00296600160373743
17679,6711,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,8607bb93-b2f0-4670-a0b6-dffb9494bb8d,3.13413693220355E-07,0.00279262779692828
17680,6712,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,5b0c311b-0c02-43c7-8593-1b5ca4627ea9,3.13109921989962E-07,0.00345768791077464
17681,6770,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,9e2e79ec-b973-4352-a362-d332cf700f8e,7.94816969573731E-07,0.00366589851694133
17682,6937,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,59d78e14-2eb0-4293-b714-bdefa759f3f3,2.68972144112922E-07,0.00240753373661393
17683,6938,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,34b48f17-4fed-4c9c-b86c-0ed654653800,2.68838903139113E-07,0.0022777727116533
17684,7028,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,564d2dce-0a2c-434f-a66a-7ef42d9e2e35,6.95376911608037E-08,0.0010395614203931
17685,7029,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,917f92f4-76db-449d-9701-4e2a3fd239f7,6.95313246978913E-08,0.00104986157582368
17686,7030,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,d10a512a-9d70-403d-8853-4063e2a5fa23,6.95267772243824E-08,0.000962870170641048
17687,7031,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,b0bf5622-034a-4604-b7e1-bf70731c201d,6.95195012667682E-08,0.00118265689667066
17688,6300,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a8164a4f-6894-429f-8d4b-dff707eede25,9.0102093963651E-06,0.0124314063385964
17689,6301,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,1b3ecd8e-487a-4fad-a7df-94033af60986,8.48329545988236E-06,0.0199953810985261
17690,6327,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,1703105b-f89f-4110-8bb1-40bdd7263bd9,1.24273219626048E-06,0.005038362160183
17691,6328,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,096aa9de-c408-4b89-ad7e-36f58e268912,1.23587551570381E-06,0.00525985604252333
17692,6329,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,67e924a7-e914-4355-a1ae-39e8c27be106,1.23202835311531E-06,0.00479146171313015
17693,6353,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,40834ee9-6898-4bff-b9c0-97a168cf468a,1.17813533506705E-06,0.0052662104620929
17694,6778,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,cb82b2af-4a23-404d-9803-f5c0e4c5bc7b,4.54456312581897E-07,0.003035214580358
17695,6779,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,56f786af-aed0-42bc-b9c9-0bc24a1bb3a1,4.52791027782951E-07,0.00271045088624429
17696,6201,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,d9f974d3-964e-45ae-94a3-932c2575f9af,9.57949441726669E-06,0.0194352765857185
17697,6202,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,091b8f98-72f4-4b8f-81ca-ce56511ec455,9.08444371816586E-06,0.0220821451880991
17698,6665,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e5150e5a-4b55-44ed-9613-7f6492a12ce1,9.03524778550491E-07,0.00649796579377784
17699,6721,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a28988a1-2bed-4575-bf0d-058bd387b644,2.22148628381547E-07,0.00180875873341944
17700,6722,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,bcb19857-9370-4fdb-ba4b-64355811d381,2.21944446820999E-07,0.00210683721807952
17701,6723,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,951a3197-612e-4847-a062-6f76ef373e57,2.21830305235926E-07,0.00201448529851604
17702,6724,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,07333da7-c9d4-4aa0-835a-074a80a6138e,2.20928086491767E-07,0.00190854418682054
17703,6725,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,84fc4eec-2122-4634-a60d-8603160c91f3,2.20514721149812E-07,0.00249177341642725
17704,11949,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,50d2a1c7-62b6-4997-be71-d0fa8c46713d,6.20411810814403E-09,0.000354425690317291
17705,11950,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,c8977d2c-5a3c-4d5c-82de-916d3933b658,6.20093487668782E-09,0.000367573478999608
17706,11951,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,c04ceb1c-98b2-43bc-8397-fc34bda72f0f,6.18592821410857E-09,0.000316708091632881
